Nam,Mon,mean_prev,mean_change,mean_change_pct,median_change,pct_lt_5_change,pct_ge_8_change,count_change_pct,mean,median,count,pct_lt_5,pct_ge_8,severity
2025,Toan,6.4473,-1.6642,-25.8124,-2.2,38.901,-13.52,7.704,4.7831,4.6,1126166,56.3945,5.45,52.0229
2023,SinhHoc,5.0197,1.3756,27.404,1.75,-40.3905,5.98,0.7586,6.3953,6.5,324606,10.3926,10.57,50.58925
2022,LichSu,4.9717,1.3722,27.6002,1.75,-32.6994,11.1,3.929,6.3439,6.5,659660,19.3357,18.13,49.4999
2024,DiaLy,6.1482,1.0459,17.0115,1.0,-8.9858,24.37,3.309,7.1941,7.25,704623,4.3552,31.01,33.6894
2022,NgoaiNgu,5.8499,-0.6922,-11.8327,-0.8,11.2265,-12.14,0.2665,5.1577,4.8,870601,51.3886,12.09,23.51595
2025,HoaHoc,6.681,-0.6161,-9.2217,-0.75,13.6669,-7.65,-30.6984,6.0649,6.0,240135,29.5292,19.29,19.88015
2024,LichSu,6.0257,0.5447,9.0396,0.5,-11.8665,6.55,3.3311,6.5704,6.5,706208,13.0415,19.62,18.24785
2022,SinhHoc,5.516,-0.4963,-8.9975,-0.75,16.2711,-1.93,-5.5974,5.0197,4.75,322162,50.7831,4.59,18.09805
2025,SinhHoc,6.2847,-0.5064,-8.0577,-0.5,19.0521,0.77,-79.5833,5.7783,5.75,69895,32.4401,10.83,17.968750000000004
2025,DiaLy,7.1941,-0.5662,-7.8703,-0.5,14.3346,-4.33,-32.3796,6.6279,6.75,476469,18.6898,26.68,17.2026
2023,DiaLy,6.6781,-0.5299,-7.9349,-0.5,6.045,-10.09,3.7502,6.1482,6.25,682054,13.341,6.64,16.0024
2024,NguVan,6.8584,0.3729,5.4371,0.5,-2.2394,11.57,4.1525,7.2313,7.5,1050081,5.0638,35.99,12.3418
2023,NguVan,6.508,0.3504,5.3841,0.5,-4.3099,7.45,2.7356,6.8584,7.0,1008215,7.3032,24.42,11.26405
2023,NgoaiNgu,5.1577,0.3047,5.9077,0.4,-6.7018,3.09,1.1934,5.4624,5.2,880991,44.6868,15.18,10.803600000000001
2023,LichSu,6.3439,-0.3182,-5.0158,-0.5,5.5723,-5.06,3.6052,6.0257,6.0,683442,24.908,13.07,10.331949999999999
2025,VatLy,6.6669,0.3182,4.7728,0.0,-6.5537,3.55,0.5749,6.9851,7.0,347598,9.7895,30.79,9.82465
2022,GDCD,8.3746,-0.341,-4.0718,-0.25,0.0363,-9.6,4.1534,8.0336,8.25,554318,1.0276,61.85,8.889949999999999
2025,NgoaiNgu,5.522,-0.1165,-2.1097,0.05,-4.6405,-8.58,-60.8064,5.4055,5.25,357721,37.8633,6.05,8.71995
2025,NguVan,7.2313,-0.2292,-3.1696,-0.25,1.1756,-9.3,7.2983,7.0021,7.25,1126719,6.2394,26.69,8.4074
2023,Toan,6.4663,-0.2157,-3.3358,-0.2,2.6872,-6.69,2.1011,6.2506,6.6,1003371,21.6363,15.16,8.0244
2022,DiaLy,6.9564,-0.2783,-4.0006,-0.25,2.6763,-5.32,4.551,6.6781,6.75,657400,7.296,16.73,7.99875
2023,GDCD,8.0336,0.2525,3.143,0.25,-0.0602,7.11,2.0046,8.2861,8.5,565430,0.9674,68.96,6.7280999999999995
2025,LichSu,6.5704,-0.0511,-0.7777,0.1,5.5882,3.41,-31.8485,6.5193,6.6,481291,18.6297,23.03,5.2768
2024,VatLy,6.5741,0.0928,1.4116,0.25,1.5592,5.92,5.6336,6.6669,7.0,345611,16.3432,27.24,5.151199999999999
2023,HoaHoc,6.7041,0.0406,0.6056,0.0,-3.5446,-5.2,0.2312,6.7447,7.0,328115,11.695,22.67,4.9779
