Nam,Vung,Mon,count,mean,pct_ge_8,province_count,min_province_mean,max_province_mean
2021,Bắc Trung Bộ và Duyên hải miền Trung,HoaHoc,73917,6.7456,29.2178,14,6.5707,7.006
2021,Bắc Trung Bộ và Duyên hải miền Trung,NgoaiNgu,207667,5.4033,17.8218,14,4.9736,6.3594
2021,Bắc Trung Bộ và Duyên hải miền Trung,NguVan,226785,6.5248,18.4391,14,5.6671,7.0529
2021,Bắc Trung Bộ và Duyên hải miền Trung,SinhHoc,72280,5.3603,6.8406,14,5.0312,5.8191
2021,Bắc Trung Bộ và Duyên hải miền Trung,Toan,227932,6.5408,26.0631,14,6.147,7.0615
2021,Bắc Trung Bộ và Duyên hải miền Trung,VatLy,73625,6.6936,22.3105,14,6.3284,7.0087
2021,Trung du và miền núi phía Bắc,HoaHoc,82854,6.5913,22.4492,14,6.3907,7.0369
2021,Trung du và miền núi phía Bắc,NgoaiNgu,187856,6.2876,31.5613,14,4.173,7.229
2021,Trung du và miền núi phía Bắc,NguVan,215939,6.3158,9.842,14,5.3215,6.8339
2021,Trung du và miền núi phía Bắc,SinhHoc,81767,5.56,6.4423,14,5.1862,6.1207
2021,Trung du và miền núi phía Bắc,Toan,216359,6.6474,25.8999,14,4.9156,7.1604
2021,Trung du và miền núi phía Bắc,VatLy,82478,6.4678,15.8857,14,6.283,7.0872
2021,Tây Nguyên,HoaHoc,29111,6.6094,22.755,5,6.3154,7.0496
2021,Tây Nguyên,NgoaiNgu,63398,5.9175,24.279,5,5.094,7.1064
2021,Tây Nguyên,NguVan,69886,6.2499,9.3397,5,5.6983,6.8033
2021,Tây Nguyên,SinhHoc,28606,5.641,6.4113,5,5.2836,6.2827
2021,Tây Nguyên,Toan,70349,6.6094,24.227,5,6.1718,7.1318
2021,Tây Nguyên,VatLy,29084,6.4894,15.1205,5,6.2921,6.7891
2021,Đông Nam Bộ,HoaHoc,33575,6.6078,20.0821,6,6.4869,6.6855
2021,Đông Nam Bộ,NgoaiNgu,74360,5.8367,20.6952,6,5.3084,6.1436
2021,Đông Nam Bộ,NguVan,83737,6.3707,10.8547,6,5.9062,6.901
2021,Đông Nam Bộ,SinhHoc,33240,5.5973,5.162,6,5.3843,5.8619
2021,Đông Nam Bộ,Toan,83903,6.5419,19.6981,6,6.2048,6.6578
2021,Đông Nam Bộ,VatLy,33481,6.3423,11.319,6,6.1189,6.5959
2021,Đồng bằng sông Cửu Long,HoaHoc,53705,6.5847,20.6423,13,6.1954,6.8852
2021,Đồng bằng sông Cửu Long,NgoaiNgu,126042,5.6442,17.8235,13,4.4855,6.7356
2021,Đồng bằng sông Cửu Long,NguVan,137827,6.5312,14.2539,13,5.5084,7.0648
2021,Đồng bằng sông Cửu Long,SinhHoc,53088,5.8617,8.258,13,5.2796,6.5014
2021,Đồng bằng sông Cửu Long,Toan,137547,6.5087,19.4193,13,5.5672,6.9476
2021,Đồng bằng sông Cửu Long,VatLy,52987,6.3426,11.6958,13,6.0082,6.7024
2021,Đồng bằng sông Hồng,HoaHoc,71250,6.6139,29.747,10,6.2927,7.175
2021,Đồng bằng sông Hồng,NgoaiNgu,202622,6.0528,29.7801,10,4.3774,6.4637
2021,Đồng bằng sông Hồng,NguVan,233550,6.6322,19.9808,10,6.0171,7.1458
2021,Đồng bằng sông Hồng,SinhHoc,70032,5.2664,5.6225,10,5.0338,5.866
2021,Đồng bằng sông Hồng,Toan,234570,6.7586,32.531,10,5.1906,7.4229
2021,Đồng bằng sông Hồng,VatLy,71157,6.8671,26.8713,10,6.538,7.0947
2022,Bắc Trung Bộ và Duyên hải miền Trung,HoaHoc,70250,6.9711,34.4948,14,6.6041,7.3403
2022,Bắc Trung Bộ và Duyên hải miền Trung,NgoaiNgu,209644,4.7997,8.323,14,4.5121,5.4594
2022,Bắc Trung Bộ và Duyên hải miền Trung,NguVan,229485,6.6011,20.7458,14,5.3732,7.3572
2022,Bắc Trung Bộ và Duyên hải miền Trung,SinhHoc,68811,4.9655,4.8833,14,4.587,5.4505
2022,Bắc Trung Bộ và Duyên hải miền Trung,Toan,230419,6.3838,22.0688,14,5.9306,6.9995
2022,Bắc Trung Bộ và Duyên hải miền Trung,VatLy,69888,6.9561,29.1256,14,6.5107,7.4279
2022,Trung du và miền núi phía Bắc,HoaHoc,76659,6.6942,26.3521,14,6.4398,7.3974
2022,Trung du và miền núi phía Bắc,NgoaiNgu,183623,5.5832,17.2892,14,3.7898,6.3964
2022,Trung du và miền núi phía Bắc,NguVan,212061,6.4959,16.2489,14,5.0397,7.688
2022,Trung du và miền núi phía Bắc,SinhHoc,75629,5.0559,5.0632,14,4.6024,5.9796
2022,Trung du và miền núi phía Bắc,Toan,212416,6.5474,22.7321,14,4.6968,7.0571
2022,Trung du và miền núi phía Bắc,VatLy,76114,6.6464,20.1841,14,6.4681,7.3913
2022,Tây Nguyên,HoaHoc,27706,6.5315,23.816,5,6.0801,7.0643
2022,Tây Nguyên,NgoaiNgu,63806,5.1263,10.8976,5,4.4109,6.2542
2022,Tây Nguyên,NguVan,70989,6.3135,10.9944,5,5.8237,7.0819
2022,Tây Nguyên,SinhHoc,27272,5.0108,3.8152,5,4.6355,5.7455
2022,Tây Nguyên,Toan,71305,6.4032,20.1604,5,5.8628,7.1453
2022,Tây Nguyên,VatLy,27690,6.5755,18.9424,5,6.3185,7.006
2022,Đông Nam Bộ,HoaHoc,33806,6.5756,21.4868,6,6.4441,6.7586
2022,Đông Nam Bộ,NgoaiNgu,78662,5.1037,8.7883,6,4.615,5.3438
2022,Đông Nam Bộ,NguVan,89172,6.2519,8.6618,6,5.9136,6.6379
2022,Đông Nam Bộ,SinhHoc,33425,4.9715,3.2719,6,4.6988,5.2934
2022,Đông Nam Bộ,Toan,89110,6.4022,16.5711,6,6.038,6.6775
2022,Đông Nam Bộ,VatLy,33672,6.4892,14.4785,6,6.352,6.6454
2022,Đồng bằng sông Cửu Long,HoaHoc,52650,6.4884,20.9968,13,6.0868,6.8952
2022,Đồng bằng sông Cửu Long,NgoaiNgu,131707,4.8841,7.2674,13,4.0463,5.8378
2022,Đồng bằng sông Cửu Long,NguVan,143260,6.3852,12.1589,13,5.4059,7.0255
2022,Đồng bằng sông Cửu Long,SinhHoc,51965,5.197,5.06,13,4.6153,5.7735
2022,Đồng bằng sông Cửu Long,Toan,142635,6.3407,16.1347,13,5.4812,6.8209
2022,Đồng bằng sông Cửu Long,VatLy,52034,6.4093,13.8408,13,6.034,6.7913
2022,Đồng bằng sông Hồng,HoaHoc,64338,6.7495,33.3756,10,6.3106,7.3347
2022,Đồng bằng sông Hồng,NgoaiNgu,197013,5.3911,16.4708,10,4.0302,5.8317
2022,Đồng bằng sông Hồng,NguVan,229931,6.6745,22.2706,10,5.7593,7.3626
2022,Đồng bằng sông Hồng,SinhHoc,63142,4.9147,4.352,10,4.6042,5.5119
2022,Đồng bằng sông Hồng,Toan,230410,6.6126,27.2216,10,5.2874,7.4022
2022,Đồng bằng sông Hồng,VatLy,64193,7.0216,32.3989,10,6.8413,7.504
2023,Bắc Trung Bộ và Duyên hải miền Trung,HoaHoc,68987,6.8803,26.6421,14,6.7081,7.1398
2023,Bắc Trung Bộ và Duyên hải miền Trung,NgoaiNgu,210114,5.1422,10.96,14,4.7496,5.7798
2023,Bắc Trung Bộ và Duyên hải miền Trung,NguVan,232386,6.974,28.8652,14,6.0034,7.7473
2023,Bắc Trung Bộ và Duyên hải miền Trung,SinhHoc,68115,6.2903,9.4944,14,5.9646,6.6551
2023,Bắc Trung Bộ và Duyên hải miền Trung,Toan,231601,6.1253,15.0507,14,5.6894,6.7193
2023,Bắc Trung Bộ và Duyên hải miền Trung,VatLy,68879,6.7431,26.0512,14,6.4105,7.1646
2023,Trung du và miền núi phía Bắc,HoaHoc,76528,6.7376,21.3708,14,6.3106,7.2285
2023,Trung du và miền núi phía Bắc,NgoaiNgu,182728,5.8537,21.3296,14,3.8336,6.7603
2023,Trung du và miền núi phía Bắc,NguVan,215298,6.6619,18.8059,14,5.2703,7.7683
2023,Trung du và miền núi phía Bắc,SinhHoc,75773,6.4439,11.5426,14,5.9982,6.9464
