Nam,Tinh,Mon,count,mean,median,std,pct_ge_8,MaTinh,TenTinh
2021,1,HoaHoc,31041,6.2927,6.75,1.9131,25.87,1.0,Ha Noi
2021,1,NgoaiNgu,86888,6.4637,6.8,2.5062,39.96,1.0,Ha Noi
2021,1,NguVan,99117,6.7881,7.0,1.409,25.04,1.0,Ha Noi
2021,1,SinhHoc,30581,5.0338,4.75,1.4637,4.81,1.0,Ha Noi
2021,1,Toan,99576,6.951,7.4,1.7476,37.18,1.0,Ha Noi
2021,1,VatLy,31017,6.7479,7.0,1.525,26.0,1.0,Ha Noi
2021,2,HoaHoc,18535,6.4643,6.75,1.4367,17.22,2.0,Ha Giang
2021,2,HoaHoc,32238,6.5743,6.75,1.4487,19.95,2.0,Ha Giang
2021,2,NgoaiNgu,28196,7.3804,8.0,1.91,50.44,2.0,Ha Giang
2021,2,NgoaiNgu,47296,7.1387,7.6,1.9449,44.37,2.0,Ha Giang
2021,2,NguVan,29119,6.5286,6.5,0.9913,6.59,2.0,Ha Giang
2021,2,NguVan,55479,6.4535,6.5,1.0117,5.69,2.0,Ha Giang
2021,2,SinhHoc,18535,5.5776,5.5,1.3553,5.79,2.0,Ha Giang
2021,2,SinhHoc,31900,5.5766,5.5,1.3648,6.12,2.0,Ha Giang
2021,2,Toan,29147,7.265,7.4,1.1579,32.63,2.0,Ha Giang
2021,2,Toan,56432,7.1064,7.4,1.2894,30.11,2.0,Ha Giang
2021,2,VatLy,18535,6.2771,6.25,1.2836,10.22,2.0,Ha Giang
2021,2,VatLy,31958,6.2864,6.25,1.3395,12.13,2.0,Ha Giang
2021,3,HoaHoc,8757,6.5495,7.0,1.6588,25.1,3.0,Cao Bang
2021,3,NgoaiNgu,20703,6.5122,6.8,2.2303,35.72,3.0,Cao Bang
2021,3,NguVan,22932,6.3571,6.5,1.4497,14.32,3.0,Cao Bang
2021,3,SinhHoc,8652,5.5253,5.5,1.3603,4.94,3.0,Cao Bang
2021,3,Toan,23081,6.9635,7.4,1.6347,35.3,3.0,Cao Bang
2021,3,VatLy,8747,6.9177,7.25,1.3122,25.78,3.0,Cao Bang
2021,4,HoaHoc,5201,6.4532,6.75,1.7745,25.51,4.0,Bac Kan
2021,4,NgoaiNgu,11246,6.4474,6.8,2.2844,35.85,4.0,Bac Kan
2021,4,NguVan,12332,5.5906,5.75,1.4356,5.81,4.0,Bac Kan
2021,4,SinhHoc,5098,5.1862,5.0,1.5648,7.12,4.0,Bac Kan
2021,4,Toan,12488,6.8475,7.4,1.6904,32.01,4.0,Bac Kan
2021,4,VatLy,5190,6.5189,6.75,1.4563,17.44,4.0,Bac Kan
2021,5,HoaHoc,551,6.3907,6.75,1.6311,21.42,5.0,Tuyen Quang
2021,5,NgoaiNgu,4996,4.173,3.6,1.8859,7.09,5.0,Tuyen Quang
2021,5,NguVan,5530,5.3215,5.25,1.585,5.26,5.0,Tuyen Quang
2021,5,SinhHoc,524,5.3249,5.25,1.4731,6.11,5.0,Tuyen Quang
2021,5,Toan,5458,4.9156,4.6,1.8361,7.81,5.0,Tuyen Quang
2021,5,VatLy,552,6.3555,6.5,1.4928,15.04,5.0,Tuyen Quang
2021,6,HoaHoc,611,6.4685,6.75,1.5221,18.33,6.0,Lao Cai
2021,6,NgoaiNgu,4066,4.5147,3.8,2.0216,9.86,6.0,Lao Cai
