Nam,Mon,count,mean,median,std,pct_ge_8,p10,p25,p75,p90,iqr,min_score,max_score
2021,CongNgheCongNghiep,0,,,,,,,,,,,
2021,CongNgheNongNghiep,0,,,,,,,,,,,
2021,DiaLy,628784,6.9564,7.0,1.174,22.05,5.5,6.25,7.75,8.5,1.5,0.25,10.0
2021,GDCD,532213,8.3746,8.5,1.1561,71.45,6.75,7.75,9.25,9.75,1.5,0.5,10.0
2021,HoaHoc,346709,6.6306,7.0,1.596,24.89,4.25,5.5,7.75,8.5,2.25,0.25,10.0
2021,KinhTePhapLuat,0,,,,,,,,,,,
2021,LichSu,634722,4.9717,4.75,1.768,7.03,2.75,3.5,6.25,7.5,2.75,0.25,10.0
2021,NgoaiNgu,868287,5.8499,5.6,2.2134,24.23,3.0,4.0,7.8,9.0,3.8,0.6,10.0
2021,NguVan,974415,6.4705,6.5,1.3637,14.94,4.5,5.75,7.5,8.0,1.75,0.25,10.0
2021,SinhHoc,341264,5.516,5.5,1.4414,6.52,3.75,4.5,6.5,7.5,2.0,0.25,10.0
2021,TinHoc,0,,,,,,,,,,,
2021,Toan,977363,6.6138,7.0,1.6778,25.87,4.2,5.4,8.0,8.6,2.6,0.6,10.0
2021,VatLy,345079,6.5665,6.75,1.3929,18.32,4.5,5.75,7.75,8.25,2.0,0.25,10.0
2022,CongNgheCongNghiep,0,,,,,,,,,,,
2022,CongNgheNongNghiep,0,,,,,,,,,,,
2022,DiaLy,657400,6.6781,6.75,1.2144,16.73,5.0,5.75,7.5,8.25,1.75,0.25,10.0
2022,GDCD,554318,8.0336,8.25,1.0659,61.85,6.5,7.5,8.75,9.25,1.25,1.0,10.0
2022,HoaHoc,327358,6.7041,7.0,1.6,27.87,4.5,5.5,8.0,8.5,2.5,0.25,10.0
2022,KinhTePhapLuat,0,,,,,,,,,,,
2022,LichSu,659660,6.3439,6.5,1.6128,18.13,4.0,5.25,7.5,8.5,2.25,0.25,10.0
2022,NgoaiNgu,870601,5.1577,4.8,1.9495,12.09,2.8,3.6,6.6,8.2,3.0,0.4,10.0
2022,NguVan,981369,6.508,6.5,1.379,16.97,4.75,5.58,7.5,8.25,1.92,0.25,10.0
2022,SinhHoc,322162,5.0197,4.75,1.4474,4.59,3.25,4.0,6.0,7.0,2.0,0.5,10.0
2022,TinHoc,0,,,,,,,,,,,
2022,Toan,982723,6.4663,6.8,1.6754,21.85,4.0,5.4,7.8,8.4,2.4,0.2,10.0
2022,VatLy,325513,6.724,7.0,1.4415,22.75,4.75,5.75,7.75,8.5,2.0,0.75,10.0
2023,CongNgheCongNghiep,0,,,,,,,,,,,
2023,CongNgheNongNghiep,0,,,,,,,,,,,
2023,DiaLy,682054,6.1482,6.25,1.1669,6.64,4.75,5.5,7.0,7.5,1.5,0.5,10.0
2023,GDCD,565430,8.2861,8.5,1.1365,68.96,6.75,7.75,9.25,9.5,1.5,0.25,10.0
2023,HoaHoc,328115,6.7447,7.0,1.4283,22.67,4.75,5.75,7.75,8.5,2.0,0.75,10.0
2023,KinhTePhapLuat,0,,,,,,,,,,,
2023,LichSu,683442,6.0257,6.0,1.5528,13.07,4.0,5.0,7.25,8.0,2.25,0.25,10.0
2023,NgoaiNgu,880991,5.4624,5.2,1.9663,15.18,3.0,4.0,7.0,8.4,3.0,0.2,10.0
2023,NguVan,1008215,6.8584,7.0,1.3261,24.42,5.0,6.0,7.75,8.5,1.75,0.25,10.0
2023,SinhHoc,324606,6.3953,6.5,1.2058,10.57,4.75,5.5,7.25,8.0,1.75,0.25,10.0
2023,TinHoc,0,,,,,,,,,,,
2023,Toan,1003371,6.2506,6.6,1.6333,15.16,3.8,5.2,7.6,8.2,2.4,0.2,10.0
2023,VatLy,327179,6.5741,6.75,1.4864,21.32,4.5,5.5,7.75,8.25,2.25,0.25,10.0
2024,CongNgheCongNghiep,0,,,,,,,,,,,
2024,CongNgheNongNghiep,0,,,,,,,,,,,
2024,DiaLy,704623,7.1941,7.25,1.2823,31.01,5.5,6.5,8.0,8.75,1.5,0.25,10.0
2024,GDCD,583586,8.1568,8.25,1.0414,65.84,6.75,7.5,9.0,9.25,1.5,1.0,10.0
2024,HoaHoc,346507,6.681,6.75,1.6411,26.94,4.25,5.5,8.0,8.75,2.5,0.25,10.0
2024,KinhTePhapLuat,0,,,,,,,,,,,
2024,LichSu,706208,6.5704,6.5,1.4627,19.62,4.75,5.5,7.5,8.5,2.0,0.5,10.0
2024,NgoaiNgu,912702,5.522,5.2,1.8806,14.63,3.2,4.0,7.0,8.4,3.0,0.4,10.0
2024,NguVan,1050081,7.2313,7.5,1.3297,35.99,5.5,6.5,8.25,8.75,1.75,0.25,10.0
2024,SinhHoc,342343,6.2847,6.25,1.2433,10.06,4.75,5.5,7.25,8.0,1.75,0.5,10.0
2024,TinHoc,0,,,,,,,,,,,
2024,Toan,1045612,6.4473,6.8,1.5569,18.97,4.2,5.4,7.6,8.2,2.2,0.4,9.8
2024,VatLy,345611,6.6669,7.0,1.631,27.24,4.25,5.5,8.0,8.5,2.5,0.25,10.0
2025,CongNgheCongNghiep,2290,5.7926,5.6,1.5395,11.22,3.95,4.55,7.0,8.0,2.45,2.3,10.0
2025,CongNgheNongNghiep,22048,7.7159,7.75,1.1705,48.8,6.25,7.0,8.5,9.0,1.5,1.55,10.0
2025,DiaLy,476469,6.6279,6.75,1.7497,26.68,4.25,5.35,8.0,9.0,2.65,0.25,10.0
2025,GDCD,0,,,,,,,,,,,
2025,HoaHoc,240135,6.0649,6.0,1.8108,19.29,3.75,4.75,7.5,8.75,2.75,0.75,10.0
2025,KinhTePhapLuat,246401,7.6914,7.75,1.1809,49.12,6.1,7.0,8.5,9.0,1.5,1.25,10.0
2025,LichSu,481291,6.5193,6.6,1.6328,23.03,4.25,5.25,7.75,8.75,2.5,0.25,10.0
2025,NgoaiNgu,357721,5.4055,5.25,1.4803,6.05,3.5,4.25,6.25,7.25,2.0,0.5,10.0
2025,NguVan,1126719,7.0021,7.25,1.2785,26.69,5.25,6.25,8.0,8.5,1.75,0.25,9.75
2025,SinhHoc,69895,5.7783,5.75,1.5808,10.83,3.75,4.6,7.0,8.0,2.4,0.85,10.0
2025,TinHoc,7602,6.7828,6.75,1.4826,24.8,4.85,5.75,7.85,8.75,2.1,1.35,10.0
2025,Toan,1126166,4.7831,4.6,1.6772,5.45,2.7,3.5,5.85,7.1,2.35,0.1,10.0
2025,VatLy,347598,6.9851,7.0,1.5173,30.79,5.0,5.85,8.25,9.0,2.4,0.55,10.0
