Nam,ToHop,count,mean,std,pct_ge_24,pct_lt_15
2021,KHTN,338023,6.2325,1.0753,0.0,100.0
2021,KHXH,531979,6.8301,1.1422,0.0,100.0
2021,KhoiA,343438,21.0058,3.1943,17.4631,4.7222
2021,KhoiA1,332474,21.068,3.4518,22.5169,5.05
2021,KhoiB,341241,19.9776,3.0935,8.7235,6.2202
2021,KhoiC,628485,18.3179,3.6163,6.3771,17.1931
2021,KhoiD,864975,19.2597,4.1082,14.1799,16.2508
2021,TongDiem,72884,26.8924,2.7039,85.9613,0.1111
2021,TongDiemKHTN,15576,27.2877,2.3904,90.2928,0.0449
2021,TongDiemKHXH,57308,26.785,2.7732,84.784,0.1291
2022,KHTN,318647,6.1372,1.102,0.0,100.0
2022,KHXH,554067,7.0884,1.0866,0.0,100.0
2022,KhoiA,323673,21.0955,3.2378,19.0207,4.5435
2022,KhoiA1,312164,20.2909,3.3396,14.009,6.3841
2022,KhoiB,322124,19.4039,3.1555,7.0243,8.7081
2022,KhoiC,656942,19.452,3.5642,10.5031,10.7328
2022,KhoiD,866730,18.4381,3.8846,7.8824,19.5871
2022,TongDiem,74310,27.0093,2.5861,87.209,0.0781
2022,TongDiemKHTN,20533,27.2695,2.4046,89.9576,0.039
2022,TongDiemKHXH,53777,26.91,2.6454,86.1595,0.093
2023,KHTN,322515,6.5691,1.015,0.0,100.0
2023,KHXH,565221,6.8839,1.0744,0.0,100.0
2023,KhoiA,325902,20.7745,3.0941,13.9367,4.7097
2023,KhoiA1,315146,20.2753,3.3395,14.0195,6.6693
2023,KhoiB,324554,20.6047,2.7763,9.6354,3.3455
2023,KhoiC,681721,18.975,3.3787,7.2508,11.3536
2023,KhoiD,878007,18.903,3.818,9.5069,16.3315
2023,TongDiem,63907,27.0989,2.5236,88.0576,0.0689
2023,TongDiemKHTN,10437,27.516,2.2188,92.2391,0.0383
2023,TongDiemKHXH,53470,27.0174,2.571,87.2414,0.0748
2024,KHTN,339754,6.5406,1.1211,0.0,100.0
2024,KHXH,583080,7.3883,1.057,0.0,100.0
2024,KhoiA,343800,20.9046,3.3803,19.0116,5.6655
2024,KhoiA1,329761,20.4738,3.3505,15.4818,6.4547
2024,KhoiB,342291,20.5311,2.9818,12.0067,3.9203
2024,KhoiC,704007,20.9528,3.4656,20.5472,4.8301
2024,KhoiD,908866,19.5093,3.6275,11.7612,11.4658
2024,TongDiem,38460,27.3073,2.4456,89.7712,0.0832
2024,TongDiemKHTN,10733,27.6411,2.1464,93.2451,0.0839
2024,TongDiemKHXH,27727,27.178,2.5402,88.4264,0.083
2025,KhoiA,162200,19.3693,4.3368,17.5697,17.0912
2025,KhoiA1,147636,18.8724,3.6236,9.203,14.7261
2025,KhoiB,44964,18.2894,4.5063,13.2239,25.8852
2025,KhoiC,297368,19.7211,4.2687,18.8255,14.7723
2025,KhoiD,356523,18.6135,2.9308,3.7591,10.3082
2025,TongDiem,996521,23.7031,3.9084,51.9704,2.4167
