Nam,Tinh,TenTinh,Mon,count,mean,national_mean,delta_from_national,z_score,severity
2023,5,Tuyên Quang,Toan,6093,4.3154,6.2506,-1.9352,-3.4522,5.3873999999999995
2024,5,Tuyên Quang,Toan,6644,4.5847,6.4473,-1.8626,-3.4985,5.3611
2022,5,Tuyên Quang,Toan,5723,4.6968,6.4663,-1.7695,-3.3509,5.1204
2021,5,Tuyên Quang,Toan,5458,4.9156,6.6138,-1.6982,-3.2671,4.9653
2025,5,Tuyên Quang,SinhHoc,1097,4.2537,5.7783,-1.5246,-3.1287,4.6533
2023,5,Tuyên Quang,NguVan,6219,5.2703,6.8584,-1.5881,-2.9027,4.4908
2025,4,Bắc Kạn,NguVan,13923,5.5976,7.0021,-1.4045,-2.9406,4.3451
2024,9,Sơn La,SinhHoc,1129,7.3198,6.2847,1.0351,3.2724,4.3075
2024,5,Tuyên Quang,NgoaiNgu,6031,3.9158,5.522,-1.6062,-2.6944,4.3006
2023,5,Tuyên Quang,NgoaiNgu,5504,3.8336,5.4624,-1.6288,-2.6712,4.3
2021,5,Tuyên Quang,NgoaiNgu,4996,4.173,5.8499,-1.6769,-2.5377,4.2146
2021,23,Hà Nam,Toan,9323,5.1906,6.6138,-1.4232,-2.738,4.1612
2025,5,Tuyên Quang,Toan,7047,3.4489,4.7831,-1.3342,-2.8166,4.1508
2021,57,An Giang,SinhHoc,3769,6.5014,5.516,0.9854,3.0102,3.9956000000000005
2021,14,Quảng Ninh,Toan,11034,5.2591,6.6138,-1.3547,-2.6062,3.9608999999999996
2022,7,Điện Biên,NguVan,3624,5.0397,6.508,-1.4683,-2.4913,3.9596
2022,9,Sơn La,SinhHoc,1017,5.9796,5.0197,0.9599,2.9285,3.8884
2024,6,Lào Cai,Toan,5115,5.1024,6.4473,-1.3449,-2.5261,3.871
2022,5,Tuyên Quang,NgoaiNgu,5222,3.7898,5.1577,-1.3679,-2.488,3.8559
2021,6,Lào Cai,Toan,4411,5.3028,6.6138,-1.311,-2.5222,3.8332
2023,6,Lào Cai,Toan,4686,4.8925,6.2506,-1.3581,-2.4227,3.7808
2021,5,Tuyên Quang,NguVan,5530,5.3215,6.4705,-1.149,-2.6023,3.7513
2025,14,Quảng Ninh,NguVan,12560,5.7915,7.0021,-1.2106,-2.5346,3.7452
2022,6,Lào Cai,Toan,4757,5.1731,6.4663,-1.2932,-2.4489,3.7420999999999998
2024,62,Bạc Liêu,NgoaiNgu,6107,4.1318,5.522,-1.3902,-2.3321,3.7223
2021,23,Hà Nam,NgoaiNgu,8236,4.3774,5.8499,-1.4725,-2.2284,3.7009
2023,14,Quảng Ninh,Toan,11178,4.9384,6.2506,-1.3122,-2.3408,3.6530000000000005
2021,14,Quảng Ninh,NgoaiNgu,9599,4.4137,5.8499,-1.4362,-2.1734,3.6096
2025,14,Quảng Ninh,Toan,12380,3.629,4.7831,-1.1541,-2.4364,3.5904999999999996
2024,6,Lào Cai,NguVan,5383,5.8992,7.2313,-1.3321,-2.2383,3.5704000000000002
2023,62,Bạc Liêu,NgoaiNgu,5888,4.1105,5.4624,-1.3519,-2.2171,3.569
2025,7,Điện Biên,HoaHoc,844,5.0911,6.0649,-0.9738,-2.5635,3.5373
2023,14,Quảng Ninh,NgoaiNgu,10096,4.1392,5.4624,-1.3232,-2.17,3.4932
2024,9,Sơn La,HoaHoc,1157,7.5162,6.681,0.8352,2.6572,3.4924
2022,2,Hà Giang,NgoaiNgu,73249,6.3964,5.1577,1.2387,2.253,3.4917
2024,14,Quảng Ninh,Toan,11829,5.2406,6.4473,-1.2067,-2.2665,3.4732000000000003
2021,2,Hà Giang,NgoaiNgu,75492,7.229,5.8499,1.3791,2.087,3.4661
2021,62,Bạc Liêu,NgoaiNgu,5264,4.4855,5.8499,-1.3644,-2.0648,3.4292
2023,2,Hà Giang,NgoaiNgu,71511,6.7603,5.4624,1.2979,2.1285,3.4264
2022,14,Quảng Ninh,Toan,10830,5.2874,6.4663,-1.1789,-2.2325,3.4114
2024,7,Điện Biên,NgoaiNgu,3758,4.2492,5.522,-1.2728,-2.1351,3.4078999999999997
2022,5,Tuyên Quang,NguVan,5808,5.2531,6.508,-1.2549,-2.1292,3.3841
2024,11,Hòa Bình,NgoaiNgu,2516,4.2626,5.522,-1.2594,-2.1126,3.372
2024,62,Bạc Liêu,Toan,6697,5.2789,6.4473,-1.1684,-2.1946,3.363
2021,6,Lào Cai,NgoaiNgu,4066,4.5147,5.8499,-1.3352,-2.0206,3.3558
2025,6,Lào Cai,Toan,4826,3.7071,4.7831,-1.076,-2.2716,3.3476
