Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
9,Sơn La,SinhHoc,5,6.1207,5.1973,-0.9234,0.8378,2.1225,1138
57,An Giang,Toan,5,6.6566,4.4845,-2.1721,0.9252,2.1071,11473
50,TP. Hồ Chí Minh,Toan,5,6.4987,4.3654,-2.1333,0.9205,2.0563,17241
51,Long An,Toan,5,6.8354,4.5667,-2.2687,0.9147,2.0169,20653
60,Hậu Giang,Toan,5,6.7996,4.6242,-2.1754,0.9042,1.9553,6661
53,Bến Tre,Toan,5,6.9351,4.8267,-2.1084,0.8796,1.9082,16540
55,Vĩnh Long,Toan,5,6.6077,4.5927,-2.015,0.8475,1.8996,13169
61,Sóc Trăng,Toan,5,6.3091,4.2585,-2.0506,0.8578,1.882,10852
56,Đồng Tháp,Toan,5,6.6697,4.5907,-2.079,0.8571,1.8698,12188
49,Bà Rịa - Vũng Tàu,Toan,5,6.62,4.7254,-1.8946,0.8328,1.8597,15662
37,Khánh Hòa,Toan,5,6.8069,4.6963,-2.1106,0.8585,1.8326,19764
42,Đắk Lắk,Toan,5,6.8096,4.6852,-2.1244,0.8621,1.8309,16600
54,Trà Vinh,Toan,5,6.1805,4.2582,-1.9223,0.7985,1.8218,15183
8,Lai Châu,Toan,5,6.2232,4.1636,-2.0596,0.8666,1.8198,8926
19,Hải Dương,Toan,5,6.9588,5.1924,-1.7664,0.7653,1.8086,19308
46,Tây Ninh,Toan,5,6.6578,4.4769,-2.1809,0.871,1.8076,10912
47,Bình Dương,Toan,5,6.5909,4.557,-2.0339,0.8294,1.8007,13286
27,Nghệ An,Toan,5,7.0615,5.1552,-1.9063,0.8034,1.7942,12288
14,Quảng Ninh,SinhHoc,5,5.7117,4.7828,-0.9289,0.7509,1.7875,1346
52,Tiền Giang,Toan,5,6.9476,5.1104,-1.8372,0.7653,1.7784,14087
58,Kiên Giang,NguVan,5,6.1541,7.3566,1.2025,0.96,1.7643,10043
59,Cần Thơ,Toan,5,6.075,4.0724,-2.0026,0.8183,1.7596,11093
64,,Toan,5,6.0411,4.1366,-1.9045,0.7842,1.7459,7202
43,Đắk Nông,Toan,5,6.6083,4.6855,-1.9228,0.7746,1.7407,11878
58,Kiên Giang,Toan,5,5.9627,4.0312,-1.9315,0.7832,1.7406,10030
45,Bình Phước,Toan,5,6.2048,4.2525,-1.9523,0.8009,1.7368,6140
26,Thanh Hóa,Toan,5,7.0584,5.1717,-1.8867,0.7924,1.7346,23789
2,Hà Giang,Toan,5,7.1604,5.2519,-1.9085,0.8002,1.7317,96488
44,Lâm Đồng,Toan,5,7.1318,5.4021,-1.7297,0.764,1.7303,16713
24,Nam Định,Toan,5,7.1093,5.1696,-1.9397,0.8006,1.7242,10172
38,Ninh Thuận,Toan,5,6.2983,4.3258,-1.9725,0.7881,1.7209,15560
48,Đồng Nai,Toan,5,6.5249,4.6401,-1.8848,0.7664,1.7019,36407
39,Bình Thuận,Toan,5,6.4258,4.6108,-1.815,0.7486,1.6915,10516
31,Thừa Thiên Huế,Toan,5,6.147,4.437,-1.71,0.7101,1.6787,11517
18,Bắc Ninh,Toan,5,6.6386,4.728,-1.9106,0.7737,1.6573,23593
30,Quảng Trị,Toan,5,6.6407,4.8466,-1.7941,0.7456,1.6558,16886
22,Thái Bình,Toan,5,6.776,4.7967,-1.9793,0.8025,1.6502,17926
41,Gia Lai,Toan,5,6.538,4.7088,-1.8292,0.7556,1.6382,14427
33,Quảng Nam,Toan,5,6.6503,4.8791,-1.7712,0.7281,1.6371,13518
15,Bắc Giang,Toan,5,6.5341,4.8208,-1.7133,0.7208,1.6342,18451
29,Quảng Bình,Toan,5,6.4698,4.8167,-1.6531,0.6931,1.6268,39010
34,Quảng Ngãi,Toan,5,6.5177,4.6394,-1.8783,0.7618,1.6233,17892
25,Ninh Bình,Toan,5,7.4229,5.6418,-1.7811,0.7527,1.6203,23209
21,Hưng Yên,Toan,5,6.9194,5.0284,-1.891,0.7592,1.6144,26404
43,Đắk Nông,SinhHoc,5,5.4814,6.1068,0.6254,0.7013,1.6133,507
13,Lạng Sơn,Toan,5,5.8364,4.0045,-1.8319,0.7361,1.612,9048
14,Quảng Ninh,Toan,5,5.2591,3.629,-1.6301,0.7085,1.6116,12380
63,Cà Mau,Toan,5,6.1742,4.229,-1.9452,0.7817,1.6105,8255
9,Sơn La,Toan,5,5.8665,4.4838,-1.3827,0.6295,1.6037,9756
3,Cao Bằng,Toan,5,6.9635,5.1953,-1.7682,0.7408,1.5992,28752
7,Điện Biên,SinhHoc,5,5.7172,4.7104,-1.0068,0.7037,1.5962,637
36,Phú Yên,Toan,5,6.3723,4.5107,-1.8616,0.7669,1.5946,5088
35,Bình Định,Toan,5,6.5934,4.7602,-1.8332,0.7365,1.5942,14061
10,Yên Bái,Toan,5,5.5715,3.9386,-1.6329,0.6943,1.5794,9517
28,Hà Tĩnh,Toan,5,6.277,4.6038,-1.6732,0.6856,1.5669,40105
52,Tiền Giang,SinhHoc,5,5.369,5.9769,0.6079,0.6656,1.5662,562
11,Hòa Bình,Toan,5,5.7379,3.7769,-1.961,0.7794,1.5534,3065
39,Bình Thuận,SinhHoc,5,5.3521,5.7093,0.3572,0.6074,1.5485,648
7,Điện Biên,Toan,5,6.0606,4.0657,-1.9949,0.7839,1.5334,4178
32,Đà Nẵng,Toan,5,6.2728,4.4957,-1.7771,0.7311,1.5302,8836
17,Vĩnh Phúc,Toan,5,6.1384,4.5491,-1.5893,0.6543,1.5263,19433
23,Hà Nam,Toan,5,5.1906,3.9107,-1.2799,0.622,1.523,10488
12,Thái Nguyên,Toan,5,6.1376,4.4304,-1.7072,0.6869,1.5184,18504
46,Tây Ninh,SinhHoc,5,5.68,5.6683,-0.0117,0.5904,1.515,665
27,Nghệ An,NguVan,5,6.8175,6.6604,-0.1571,0.6185,1.5083,12288
40,Kon Tum,Toan,5,6.1718,4.295,-1.8768,0.7291,1.5062,21928
16,Phú Thọ,Toan,5,6.8238,5.4503,-1.3735,0.6453,1.4993,16201
28,Hà Tĩnh,SinhHoc,5,5.1969,5.6146,0.4177,0.6775,1.4918,2140
48,Đồng Nai,SinhHoc,5,5.411,5.7676,0.3566,0.5952,1.4883,1784
7,Điện Biên,NguVan,5,5.6503,6.3615,0.7112,0.6429,1.4722,4209
1,Hà Nội,Toan,5,6.951,5.2753,-1.6757,0.6785,1.472,120277
62,Bạc Liêu,Toan,5,5.5672,3.8125,-1.7547,0.7143,1.4664,6843
41,Gia Lai,SinhHoc,5,5.338,5.9037,0.5657,0.5916,1.4652,695
45,Bình Phước,SinhHoc,4,5.3843,6.0619,0.6776,0.6629,1.4572,1850
2,Hà Giang,SinhHoc,5,5.577,6.2662,0.6892,0.604,1.446,8008
4,Bắc Kạn,Toan,5,6.8475,5.1749,-1.6726,0.6863,1.4409,13964
40,Kon Tum,SinhHoc,5,5.2836,5.5869,0.3033,0.5559,1.4354,1406
21,Hưng Yên,SinhHoc,5,5.3605,6.2851,0.9246,0.6636,1.435,707
51,Long An,SinhHoc,5,6.1675,6.0257,-0.1418,0.5741,1.4334,2033
53,Bến Tre,SinhHoc,5,5.7401,5.7627,0.0226,0.5725,1.4287,1292
47,Bình Dương,SinhHoc,5,5.7887,5.811,0.0223,0.5722,1.4243,611
63,Cà Mau,SinhHoc,5,5.2796,5.4404,0.1608,0.5683,1.4243,622
59,Cần Thơ,SinhHoc,5,5.6454,5.25,-0.3954,0.6466,1.4235,1259
62,Bạc Liêu,NgoaiNgu,5,4.4855,5.5539,1.0684,0.6321,1.4221,580
13,Lạng Sơn,SinhHoc,5,5.5587,4.976,-0.5827,0.5962,1.4205,885
32,Đà Nẵng,SinhHoc,4,5.2662,5.9556,0.6894,0.653,1.4204,2351
42,Đắk Lắk,SinhHoc,5,5.9127,5.8149,-0.0978,0.577,1.4138,1253
