Nam,Tinh,row_count
2021,1,100334
2021,2,85936
2021,3,23156
2021,4,12574
2021,5,5590
2021,6,4723
2021,7,3549
2021,8,7301
2021,9,8645
2021,10,9492
2021,11,2884
2021,12,16847
2021,13,8088
2021,14,11384
2021,15,16085
2021,16,13953
2021,17,16311
2021,18,17849
2021,19,16274
2021,21,22182
2021,22,12295
2021,23,9443
2021,24,9627
2021,25,20849
2021,26,22768
2021,27,11008
2021,28,39884
2021,29,34327
2021,30,17199
2021,31,11852
2021,32,8485
2021,33,13245
2021,34,16644
2021,35,11789
2021,36,4615
2021,37,15350
2021,38,13883
2021,39,9455
2021,40,19686
2021,41,13791
2021,42,14114
2021,43,10320
2021,44,12952
2021,45,5946
2021,46,9608
2021,47,11984
2021,48,30239
2021,49,16295
2021,50,10476
2021,51,12059
2021,52,12906
2021,53,16113
2021,54,13643
2021,55,12061
2021,56,13135
2021,57,11286
2021,58,8768
2021,59,9584
2021,60,6309
2021,61,10871
2021,62,6245
2021,63,6653
2021,64,6785
2022,1,96942
2022,2,84596
2022,3,22399
2022,4,12575
2022,5,5863
2022,6,5043
2022,7,3662
2022,8,7204
2022,9,8425
2022,10,9608
2022,11,3053
2022,12,15083
2022,13,8048
2022,14,11325
2022,15,15808
2022,16,13873
2022,17,15624
2022,18,20553
2022,19,15850
2022,21,20422
2022,22,13885
2022,23,9575
2022,24,9183
2022,25,19769
2022,26,20145
2022,27,10501
2022,28,37466
2022,29,36564
2022,30,17304
2022,31,11115
2022,32,8643
2022,33,13296
2022,34,16739
2022,35,13295
2022,36,4730
2022,37,18489
2022,38,14075
2022,39,10874
2022,40,20348
2022,41,14025
2022,42,14102
2022,43,10702
2022,44,12797
2022,45,5875
2022,46,9763
2022,47,12727
2022,48,31363
2022,49,15321
2022,50,15038
2022,51,18574
2022,52,12661
2022,53,15028
2022,54,14325
2022,55,12195
2022,56,12301
2022,57,10327
2022,58,9461
2022,59,9985
2022,60,6413
2022,61,10692
2022,62,6413
2022,63,6852
2022,64,6549
2023,1,102095
2023,2,84851
2023,3,22723
2023,4,13133
2023,5,6286
2023,6,5046
2023,7,3838
2023,8,7866
2023,9,8392
2023,10,9353
2023,11,2917
2023,12,16153
2023,13,8235
2023,14,11773
2023,15,15874
2023,16,14042
2023,17,16025
2023,18,21080
2023,19,16724
2023,21,21934
2023,22,15386
2023,23,9690
2023,24,9635
2023,25,20405
2023,26,20845
2023,27,11149
2023,28,36480
2023,29,36886
2023,30,17249
2023,31,11168
2023,32,8413
2023,33,13029
2023,34,17197
2023,35,13870
2023,36,5028
2023,37,18897
2023,38,14861
2023,39,10666
2023,40,21042
2023,41,14487
2023,42,14687
2023,43,10930
2023,44,14218
2023,45,6121
2023,46,10229
2023,47,12900
2023,48,33158
2023,49,15653
2023,50,15678
2023,51,19942
2023,52,12925
2023,53,15455
2023,54,14423
2023,55,12061
2023,56,12117
2023,57,10435
2023,58,9196
2023,59,10045
2023,60,6382
2023,61,9776
2023,62,6685
2023,63,7384
2023,64,6937
2024,1,107867
2024,2,87322
2024,3,25530
2024,4,13414
2024,5,6920
2024,6,5506
2024,7,4188
2024,8,8356
2024,9,8984
2024,10,9469
2024,11,3174
2024,12,16713
2024,13,8687
2024,14,12584
2024,15,16382
2024,16,15461
2024,17,17848
2024,18,21755
2024,19,17614
2024,21,23366
2024,22,16329
2024,23,9823
2024,24,9564
2024,25,21760
2024,26,22580
2024,27,11749
2024,28,38532
2024,29,36729
2024,30,17004
2024,31,11189
2024,32,8359
2024,33,12774
2024,34,17292
2024,35,14354
2024,36,5038
2024,37,19342
2024,38,15201
2024,39,10622
2024,40,20865
2024,41,14388
2024,42,15372
2024,43,11304
2024,44,15239
2024,45,6288
2024,46,10486
2024,47,13133
2024,48,33800
2024,49,15771
2024,50,16464
2024,51,20251
2024,52,12635
2024,53,16273
2024,54,15035
2024,55,12841
2024,56,12145
2024,57,10913
2024,58,9686
2024,59,10642
2024,60,6384
2024,61,10151
2024,62,7216
2024,63,7681
2024,64,7261
2025,1,120768
2025,2,96916
2025,3,28794
2025,4,14030
2025,5,7116
2025,6,4987
2025,7,4224
2025,8,8988
2025,9,9834
2025,10,9593
2025,11,3107
2025,12,18559
2025,13,9111
2025,14,12598
2025,15,18489
2025,16,16232
2025,17,19466
2025,18,23636
2025,19,19340
2025,21,26455
2025,22,17971
2025,23,10552
2025,24,10207
2025,25,23245
2025,26,23817
2025,27,12324
2025,28,40391
2025,29,39183
2025,30,16964
2025,31,11563
2025,32,8905
2025,33,13596
2025,34,17968
2025,35,14114
2025,36,5122
2025,37,19836
2025,38,15616
2025,39,10591
2025,40,22013
2025,41,14476
2025,42,16612
2025,43,11909
2025,44,16776
2025,45,6178
2025,46,10928
2025,47,13361
2025,48,36626
2025,49,15753
2025,50,17307
2025,51,20715
2025,52,14120
2025,53,16565
2025,54,15249
2025,55,13285
2025,56,12215
2025,57,11484
2025,58,10056
2025,59,11173
2025,60,6737
2025,61,10885
2025,62,6987
2025,63,8284
2025,64,7234
