Nam,Mon,count,count_lt_5,pct_lt_5,count_5_to_6_5,pct_5_to_6_5,count_6_5_to_8,pct_6_5_to_8,count_ge_8,pct_ge_8
2021,DiaLy,628784,29048,4.6197,153598,24.4278,307489,48.9022,138649,22.0503
2021,GDCD,532213,5276,0.9913,28499,5.3548,118156,22.2009,380282,71.453
2021,HoaHoc,346709,56522,16.3024,75673,21.8261,128217,36.9812,86297,24.8903
2021,LichSu,634722,330278,52.0351,161554,25.4527,98277,15.4835,44613,7.0287
2021,NgoaiNgu,868287,348722,40.1621,178941,20.6085,130273,15.0034,210351,24.226
2021,NguVan,974415,117452,12.0536,299704,30.7573,411714,42.2524,145545,14.9367
2021,SinhHoc,341264,117777,34.512,136494,39.9966,64738,18.9701,22255,6.5213
2021,Toan,977363,170238,17.4181,230907,23.6255,323382,33.0872,252836,25.8692
2021,VatLy,345079,45090,13.0666,93827,27.19,142927,41.4186,63235,18.3248
2022,DiaLy,657400,47964,7.296,209929,31.9332,289541,44.0434,109966,16.7274
2022,GDCD,554318,5696,1.0276,35930,6.4818,169830,30.6376,342862,61.8529
2022,HoaHoc,327358,49888,15.2396,74584,22.7836,111640,34.1033,91246,27.8735
2022,LichSu,659660,127550,19.3357,190807,28.9251,221702,33.6085,119601,18.1307
2022,NgoaiNgu,870601,447390,51.3886,200420,23.0209,117534,13.5003,105257,12.0902
2022,NguVan,981369,113967,11.6131,313967,31.9928,386867,39.4212,166568,16.973
2022,SinhHoc,322162,163604,50.7831,102734,31.8889,41035,12.7374,14789,4.5905
2022,Toan,982723,186217,18.9491,244723,24.9025,337066,34.2992,214717,21.8492
2022,VatLy,325513,38035,11.6846,82278,25.2764,131155,40.2918,74045,22.7472
2023,DiaLy,682054,90993,13.341,299839,43.9612,245920,36.0558,45302,6.642
2023,GDCD,565430,5470,0.9674,31492,5.5696,138562,24.5056,389906,68.9574
2023,HoaHoc,328115,38373,11.695,76246,23.2376,139112,42.3973,74384,22.6701
2023,LichSu,683442,170232,24.908,229716,33.6116,194163,28.4096,89331,13.0708
2023,NgoaiNgu,880991,393687,44.6868,219225,24.8839,134305,15.2448,133774,15.1845
2023,NguVan,1008215,73632,7.3032,263414,26.1268,424935,42.1473,246234,24.4228
2023,SinhHoc,324606,33735,10.3926,123027,37.9004,133530,41.136,34314,10.571
2023,Toan,1003371,217092,21.6363,270793,26.9883,363328,36.2107,152158,15.1647
2023,VatLy,327179,48370,14.784,86527,26.4464,122535,37.452,69747,21.3177
2024,DiaLy,704623,30688,4.3552,144501,20.5076,310919,44.1256,218515,31.0116
2024,GDCD,583586,4496,0.7704,30618,5.2465,164250,28.145,384222,65.8381
2024,HoaHoc,346507,54964,15.8623,84699,24.4437,113511,32.7586,93333,26.9354
2024,LichSu,706208,92100,13.0415,219632,31.1002,255943,36.2419,138533,19.6165
2024,NgoaiNgu,912702,387933,42.5038,249206,27.3042,142080,15.567,133483,14.625
2024,NguVan,1050081,53174,5.0638,198179,18.8727,420849,40.0778,377879,35.9857
2024,SinhHoc,342343,45833,13.388,131162,38.313,130910,38.2394,34438,10.0595
2024,Toan,1045612,182914,17.4935,288779,27.6182,375527,35.9146,198392,18.9738
2024,VatLy,345611,56484,16.3432,74555,21.5719,120426,34.8444,94146,27.2405
2025,CongNgheCongNghiep,2290,780,34.0611,737,32.1834,516,22.5328,257,11.2227
2025,CongNgheNongNghiep,22048,473,2.1453,2341,10.6177,8475,38.4389,10759,48.7981
2025,DiaLy,476469,89051,18.6898,124990,26.2326,135292,28.3947,127136,26.683
2025,HoaHoc,240135,70910,29.5292,68620,28.5756,54279,22.6035,46326,19.2916
2025,KinhTePhapLuat,246401,6324,2.5665,26590,10.7914,92463,37.5254,121024,49.1167
2025,LichSu,481291,89663,18.6297,130985,27.2153,149809,31.1265,110834,23.0285
2025,NgoaiNgu,357721,135445,37.8633,135345,37.8354,65289,18.2514,21642,6.05
2025,NguVan,1126719,70301,6.2394,236210,20.9644,519449,46.1028,300759,26.6933
2025,SinhHoc,69895,22674,32.4401,23054,32.9838,16600,23.7499,7567,10.8262
2025,TinHoc,7602,853,11.2207,2198,28.9134,2666,35.0697,1885,24.7961
2025,Toan,1126166,635096,56.3945,294661,26.165,134998,11.9874,61411,5.4531
2025,VatLy,347598,34028,9.7895,89178,25.6555,117369,33.7657,107023,30.7893
