Nam,Mon,count,mean_from_distribution,std_from_distribution,min_score,p10,p25,median,p75,p90,max_score,iqr
2021,DiaLy,628784,6.9564,1.174,0.25,5.5,6.25,7.0,7.75,8.5,10.0,1.5
2021,GDCD,532213,8.3746,1.1561,0.5,6.75,7.75,8.5,9.25,9.75,10.0,1.5
2021,HoaHoc,346709,6.6306,1.596,0.25,4.25,5.5,7.0,7.75,8.5,10.0,2.25
2021,LichSu,634722,4.9717,1.768,0.25,2.75,3.5,4.75,6.25,7.5,10.0,2.75
2021,NgoaiNgu,868287,5.8499,2.2134,0.6,3.0,4.0,5.6,7.8,9.0,10.0,3.8
2021,NguVan,974415,6.4705,1.3637,0.25,4.5,5.75,6.5,7.5,8.0,10.0,1.75
2021,SinhHoc,341264,5.516,1.4414,0.25,3.75,4.5,5.5,6.5,7.5,10.0,2.0
2021,Toan,977363,6.6138,1.6778,0.6,4.2,5.4,7.0,8.0,8.6,10.0,2.6
2021,VatLy,345079,6.5665,1.3929,0.25,4.5,5.75,6.75,7.75,8.25,10.0,2.0
2022,DiaLy,657400,6.6781,1.2144,0.25,5.0,5.75,6.75,7.5,8.25,10.0,1.75
2022,GDCD,554318,8.0336,1.0659,1.0,6.5,7.5,8.25,8.75,9.25,10.0,1.25
2022,HoaHoc,327358,6.7041,1.6,0.25,4.5,5.5,7.0,8.0,8.5,10.0,2.5
2022,LichSu,659660,6.3439,1.6128,0.25,4.0,5.25,6.5,7.5,8.5,10.0,2.25
2022,NgoaiNgu,870601,5.1577,1.9495,0.4,2.8,3.6,4.8,6.6,8.2,10.0,3.0
2022,NguVan,981369,6.508,1.379,0.25,4.75,5.58,6.5,7.5,8.25,10.0,1.92
2022,SinhHoc,322162,5.0197,1.4474,0.5,3.25,4.0,4.75,6.0,7.0,10.0,2.0
2022,Toan,982723,6.4663,1.6754,0.2,4.0,5.4,6.8,7.8,8.4,10.0,2.4
2022,VatLy,325513,6.724,1.4415,0.75,4.75,5.75,7.0,7.75,8.5,10.0,2.0
2023,DiaLy,682054,6.1482,1.1669,0.5,4.75,5.5,6.25,7.0,7.5,10.0,1.5
2023,GDCD,565430,8.2861,1.1365,0.25,6.75,7.75,8.5,9.25,9.5,10.0,1.5
2023,HoaHoc,328115,6.7447,1.4283,0.75,4.75,5.75,7.0,7.75,8.5,10.0,2.0
2023,LichSu,683442,6.0257,1.5528,0.25,4.0,5.0,6.0,7.25,8.0,10.0,2.25
2023,NgoaiNgu,880991,5.4624,1.9663,0.2,3.0,4.0,5.2,7.0,8.4,10.0,3.0
2023,NguVan,1008215,6.8584,1.3261,0.25,5.0,6.0,7.0,7.75,8.5,10.0,1.75
2023,SinhHoc,324606,6.3953,1.2058,0.25,4.75,5.5,6.5,7.25,8.0,10.0,1.75
2023,Toan,1003371,6.2506,1.6333,0.2,3.8,5.2,6.6,7.6,8.2,10.0,2.4
2023,VatLy,327179,6.5741,1.4864,0.25,4.5,5.5,6.75,7.75,8.25,10.0,2.25
2024,DiaLy,704623,7.1941,1.2823,0.25,5.5,6.5,7.25,8.0,8.75,10.0,1.5
2024,GDCD,583586,8.1568,1.0414,1.0,6.75,7.5,8.25,9.0,9.25,10.0,1.5
2024,HoaHoc,346507,6.681,1.6411,0.25,4.25,5.5,6.75,8.0,8.75,10.0,2.5
2024,LichSu,706208,6.5704,1.4627,0.5,4.75,5.5,6.5,7.5,8.5,10.0,2.0
2024,NgoaiNgu,912702,5.522,1.8806,0.4,3.2,4.0,5.2,7.0,8.4,10.0,3.0
2024,NguVan,1050081,7.2313,1.3297,0.25,5.5,6.5,7.5,8.25,8.75,10.0,1.75
2024,SinhHoc,342343,6.2847,1.2433,0.5,4.75,5.5,6.25,7.25,8.0,10.0,1.75
2024,Toan,1045612,6.4473,1.5569,0.4,4.2,5.4,6.8,7.6,8.2,9.8,2.2
2024,VatLy,345611,6.6669,1.631,0.25,4.25,5.5,7.0,8.0,8.5,10.0,2.5
2025,CongNgheCongNghiep,2290,5.7926,1.5395,2.3,3.95,4.55,5.6,7.0,8.0,10.0,2.45
2025,CongNgheNongNghiep,22048,7.7159,1.1705,1.55,6.25,7.0,7.75,8.5,9.0,10.0,1.5
2025,DiaLy,476469,6.6279,1.7497,0.25,4.25,5.35,6.75,8.0,9.0,10.0,2.65
2025,HoaHoc,240135,6.0649,1.8108,0.75,3.75,4.75,6.0,7.5,8.75,10.0,2.75
2025,KinhTePhapLuat,246401,7.6914,1.1809,1.25,6.1,7.0,7.75,8.5,9.0,10.0,1.5
2025,LichSu,481291,6.5193,1.6328,0.25,4.25,5.25,6.6,7.75,8.75,10.0,2.5
2025,NgoaiNgu,357721,5.4055,1.4803,0.5,3.5,4.25,5.25,6.25,7.25,10.0,2.0
2025,NguVan,1126719,7.0021,1.2785,0.25,5.25,6.25,7.25,8.0,8.5,9.75,1.75
2025,SinhHoc,69895,5.7783,1.5808,0.85,3.75,4.6,5.75,7.0,8.0,10.0,2.4
2025,TinHoc,7602,6.7828,1.4826,1.35,4.85,5.75,6.75,7.85,8.75,10.0,2.1
2025,Toan,1126166,4.7831,1.6772,0.1,2.7,3.5,4.6,5.85,7.1,10.0,2.35
2025,VatLy,347598,6.9851,1.5173,0.55,5.0,5.85,7.0,8.25,9.0,10.0,2.4
