Nam,Mon,score,count
2021,DiaLy,0.25,1
2021,DiaLy,0.5,3
2021,DiaLy,0.75,9
2021,DiaLy,1.0,11
2021,DiaLy,1.25,26
2021,DiaLy,1.5,42
2021,DiaLy,1.75,72
2021,DiaLy,2.0,141
2021,DiaLy,2.25,249
2021,DiaLy,2.5,387
2021,DiaLy,2.75,580
2021,DiaLy,3.0,796
2021,DiaLy,3.25,1127
2021,DiaLy,3.5,1613
2021,DiaLy,3.75,2130
2021,DiaLy,4.0,2982
2021,DiaLy,4.25,4191
2021,DiaLy,4.5,6116
2021,DiaLy,4.75,8572
2021,DiaLy,5.0,11773
2021,DiaLy,5.25,16243
2021,DiaLy,5.5,21471
2021,DiaLy,5.75,27867
2021,DiaLy,6.0,34845
2021,DiaLy,6.25,41399
2021,DiaLy,6.5,47011
2021,DiaLy,6.75,52517
2021,DiaLy,7.0,54930
2021,DiaLy,7.25,54785
2021,DiaLy,7.5,52005
2021,DiaLy,7.75,46241
2021,DiaLy,8.0,39657
2021,DiaLy,8.25,32324
2021,DiaLy,8.5,24413
2021,DiaLy,8.75,17736
2021,DiaLy,9.0,11844
2021,DiaLy,9.25,7129
2021,DiaLy,9.5,3851
2021,DiaLy,9.75,1470
2021,DiaLy,10.0,225
2021,GDCD,0.5,1
2021,GDCD,0.75,2
2021,GDCD,1.0,2
2021,GDCD,1.25,4
2021,GDCD,1.5,12
2021,GDCD,1.75,10
2021,GDCD,2.0,19
2021,GDCD,2.25,45
2021,GDCD,2.5,56
2021,GDCD,2.75,92
2021,GDCD,3.0,112
2021,GDCD,3.25,169
2021,GDCD,3.5,304
2021,GDCD,3.75,375
2021,GDCD,4.0,575
2021,GDCD,4.25,814
2021,GDCD,4.5,1106
2021,GDCD,4.75,1578
2021,GDCD,5.0,2074
2021,GDCD,5.25,2716
2021,GDCD,5.5,3764
2021,GDCD,5.75,4964
2021,GDCD,6.0,6469
2021,GDCD,6.25,8512
2021,GDCD,6.5,11069
2021,GDCD,6.75,13685
2021,GDCD,7.0,17237
2021,GDCD,7.25,20947
2021,GDCD,7.5,25363
2021,GDCD,7.75,29855
2021,GDCD,8.0,34882
2021,GDCD,8.25,39642
2021,GDCD,8.5,44031
2021,GDCD,8.75,48891
2021,GDCD,9.0,51373
2021,GDCD,9.25,52671
2021,GDCD,9.5,50150
2021,GDCD,9.75,40025
2021,GDCD,10.0,18617
2021,HoaHoc,0.25,1
2021,HoaHoc,0.5,1
2021,HoaHoc,0.75,20
2021,HoaHoc,1.0,26
2021,HoaHoc,1.25,90
2021,HoaHoc,1.5,151
2021,HoaHoc,1.75,331
2021,HoaHoc,2.0,612
2021,HoaHoc,2.25,978
2021,HoaHoc,2.5,1516
2021,HoaHoc,2.75,2221
2021,HoaHoc,3.0,2947
2021,HoaHoc,3.25,3858
2021,HoaHoc,3.5,4715
2021,HoaHoc,3.75,5856
2021,HoaHoc,4.0,6722
2021,HoaHoc,4.25,7939
2021,HoaHoc,4.5,8779
2021,HoaHoc,4.75,9759
2021,HoaHoc,5.0,10539
2021,HoaHoc,5.25,11345
2021,HoaHoc,5.5,12115
2021,HoaHoc,5.75,13170
2021,HoaHoc,6.0,13731
2021,HoaHoc,6.25,14773
2021,HoaHoc,6.5,15940
2021,HoaHoc,6.75,17510
2021,HoaHoc,7.0,19747
2021,HoaHoc,7.25,22375
2021,HoaHoc,7.5,25613
2021,HoaHoc,7.75,27032
2021,HoaHoc,8.0,25973
2021,HoaHoc,8.25,22357
2021,HoaHoc,8.5,16334
2021,HoaHoc,8.75,10577
2021,HoaHoc,9.0,5974
2021,HoaHoc,9.25,3041
2021,HoaHoc,9.5,1399
2021,HoaHoc,9.75,493
2021,HoaHoc,10.0,149
2021,LichSu,0.25,7
2021,LichSu,0.5,24
2021,LichSu,0.75,125
2021,LichSu,1.0,379
2021,LichSu,1.25,950
2021,LichSu,1.5,2346
2021,LichSu,1.75,4406
2021,LichSu,2.0,8089
2021,LichSu,2.25,12746
2021,LichSu,2.5,17865
2021,LichSu,2.75,23119
2021,LichSu,3.0,28261
2021,LichSu,3.25,30967
2021,LichSu,3.5,33246
2021,LichSu,3.75,34043
2021,LichSu,4.0,34358
2021,LichSu,4.25,34269
2021,LichSu,4.5,33111
2021,LichSu,4.75,31967
2021,LichSu,5.0,30761
2021,LichSu,5.25,29436
2021,LichSu,5.5,27696
2021,LichSu,5.75,26410
2021,LichSu,6.0,24365
2021,LichSu,6.25,22886
2021,LichSu,6.5,20853
2021,LichSu,6.75,19091
2021,LichSu,7.0,17145
2021,LichSu,7.25,15199
2021,LichSu,7.5,13769
2021,LichSu,7.75,12220
2021,LichSu,8.0,10331
2021,LichSu,8.25,9012
2021,LichSu,8.5,7547
2021,LichSu,8.75,6218
2021,LichSu,9.0,4879
2021,LichSu,9.25,3413
2021,LichSu,9.5,2018
2021,LichSu,9.75,929
2021,LichSu,10.0,266
2021,NgoaiNgu,0.6,3
2021,NgoaiNgu,0.8,34
2021,NgoaiNgu,1.0,106
2021,NgoaiNgu,1.2,358
2021,NgoaiNgu,1.4,714
2021,NgoaiNgu,1.6,1618
2021,NgoaiNgu,1.8,3293
2021,NgoaiNgu,2.0,5872
2021,NgoaiNgu,2.2,8725
2021,NgoaiNgu,2.4,12273
2021,NgoaiNgu,2.6,16489
2021,NgoaiNgu,2.8,20468
2021,NgoaiNgu,3.0,23942
2021,NgoaiNgu,3.2,26502
2021,NgoaiNgu,3.4,28511
2021,NgoaiNgu,3.6,29126
2021,NgoaiNgu,3.8,29441
2021,NgoaiNgu,4.0,29457
2021,NgoaiNgu,4.2,28888
2021,NgoaiNgu,4.4,28281
2021,NgoaiNgu,4.6,27767
2021,NgoaiNgu,4.8,26854
2021,NgoaiNgu,5.0,25835
2021,NgoaiNgu,5.2,24610
2021,NgoaiNgu,5.4,23331
2021,NgoaiNgu,5.6,22645
2021,NgoaiNgu,5.8,21932
2021,NgoaiNgu,6.0,21083
2021,NgoaiNgu,6.2,20095
2021,NgoaiNgu,6.4,19410
2021,NgoaiNgu,6.6,18920
2021,NgoaiNgu,6.8,18693
2021,NgoaiNgu,7.0,18364
2021,NgoaiNgu,7.2,18520
2021,NgoaiNgu,7.4,18252
2021,NgoaiNgu,7.6,18555
2021,NgoaiNgu,7.8,18969
2021,NgoaiNgu,8.0,19392
2021,NgoaiNgu,8.2,20357
2021,NgoaiNgu,8.4,21242
2021,NgoaiNgu,8.6,22543
2021,NgoaiNgu,8.8,23866
2021,NgoaiNgu,9.0,24578
2021,NgoaiNgu,9.2,24419
2021,NgoaiNgu,9.4,21783
2021,NgoaiNgu,9.6,16832
2021,NgoaiNgu,9.8,10771
2021,NgoaiNgu,10.0,4568
2021,NguVan,0.25,10
2021,NguVan,0.5,45
2021,NguVan,0.75,68
2021,NguVan,1.0,23
2021,NguVan,1.17,1
2021,NguVan,1.25,563
2021,NguVan,1.5,818
2021,NguVan,1.67,1
2021,NguVan,1.75,981
2021,NguVan,2.0,1664
2021,NguVan,2.08,2
2021,NguVan,2.16,1
2021,NguVan,2.17,2
2021,NguVan,2.18,1
2021,NguVan,2.24,1
2021,NguVan,2.25,1872
2021,NguVan,2.3,1
2021,NguVan,2.33,5
2021,NguVan,2.4,1
2021,NguVan,2.41,1
2021,NguVan,2.42,4
2021,NguVan,2.5,2981
2021,NguVan,2.58,13
2021,NguVan,2.66,1
2021,NguVan,2.67,9
2021,NguVan,2.75,3535
2021,NguVan,2.8,2
2021,NguVan,2.83,11
2021,NguVan,2.91,2
2021,NguVan,2.92,8
2021,NguVan,3.0,5456
2021,NguVan,3.08,4
2021,NguVan,3.1,1
2021,NguVan,3.16,9
2021,NguVan,3.17,14
2021,NguVan,3.2,1
2021,NguVan,3.25,6261
2021,NguVan,3.33,21
2021,NguVan,3.41,7
2021,NguVan,3.42,16
2021,NguVan,3.5,9220
2021,NguVan,3.51,1
2021,NguVan,3.58,19
2021,NguVan,3.6,2
2021,NguVan,3.65,1
2021,NguVan,3.66,6
2021,NguVan,3.67,13
2021,NguVan,3.7,1
2021,NguVan,3.75,11004
2021,NguVan,3.81,1
2021,NguVan,3.83,39
2021,NguVan,3.9,1
2021,NguVan,3.91,7
2021,NguVan,3.92,27
2021,NguVan,4.0,15590
2021,NguVan,4.08,38
2021,NguVan,4.1,1
2021,NguVan,4.16,12
2021,NguVan,4.17,34
2021,NguVan,4.2,2
2021,NguVan,4.25,15843
2021,NguVan,4.27,1
2021,NguVan,4.3,4
2021,NguVan,4.33,65
2021,NguVan,4.34,1
2021,NguVan,4.4,3
2021,NguVan,4.41,11
2021,NguVan,4.42,45
2021,NguVan,4.46,1
2021,NguVan,4.5,21122
2021,NguVan,4.58,65
2021,NguVan,4.6,2
2021,NguVan,4.65,1
2021,NguVan,4.66,19
2021,NguVan,4.67,47
2021,NguVan,4.69,1
2021,NguVan,4.7,3
2021,NguVan,4.75,19579
2021,NguVan,4.8,3
2021,NguVan,4.83,93
2021,NguVan,4.85,1
2021,NguVan,4.9,1
2021,NguVan,4.91,24
2021,NguVan,4.92,80
2021,NguVan,4.99,1
2021,NguVan,5.0,36454
2021,NguVan,5.02,1
2021,NguVan,5.03,2
2021,NguVan,5.08,110
2021,NguVan,5.09,1
2021,NguVan,5.1,2
2021,NguVan,5.16,26
2021,NguVan,5.17,104
2021,NguVan,5.18,3
2021,NguVan,5.2,4
2021,NguVan,5.23,1
2021,NguVan,5.25,33931
2021,NguVan,5.3,15
2021,NguVan,5.32,1
2021,NguVan,5.33,145
2021,NguVan,5.34,1
2021,NguVan,5.4,4
2021,NguVan,5.41,35
2021,NguVan,5.42,156
2021,NguVan,5.46,1
2021,NguVan,5.47,1
2021,NguVan,5.5,46821
2021,NguVan,5.55,1
2021,NguVan,5.58,191
2021,NguVan,5.6,16
2021,NguVan,5.63,1
2021,NguVan,5.66,25
2021,NguVan,5.67,155
