Nam,MonX,MonY,n_pair,correlation
2021,DiaLy,GDCD,532051,0.596
2021,HoaHoc,SinhHoc,341221,0.4078
2021,LichSu,DiaLy,628564,0.6294
2021,LichSu,GDCD,532044,0.5148
2021,NgoaiNgu,DiaLy,531241,0.3424
2021,NgoaiNgu,GDCD,529299,0.3366
2021,NgoaiNgu,HoaHoc,331156,0.0647
2021,NgoaiNgu,LichSu,531550,0.3564
2021,NgoaiNgu,SinhHoc,330603,0.2558
2021,NgoaiNgu,VatLy,332481,0.3357
2021,NguVan,DiaLy,628572,0.4674
2021,NguVan,GDCD,532090,0.4287
2021,NguVan,HoaHoc,335618,0.1647
2021,NguVan,LichSu,634370,0.4125
2021,NguVan,NgoaiNgu,865242,0.4043
2021,NguVan,SinhHoc,335523,0.2316
2021,NguVan,VatLy,335695,0.137
2021,Toan,DiaLy,618880,0.4914
2021,Toan,GDCD,531748,0.4549
2021,Toan,HoaHoc,346699,0.4732
2021,Toan,LichSu,624807,0.4288
2021,Toan,NgoaiNgu,867863,0.6026
2021,Toan,NguVan,964254,0.4624
2021,Toan,SinhHoc,341256,0.2841
2021,Toan,VatLy,345071,0.595
2021,VatLy,HoaHoc,343429,0.3824
2021,VatLy,SinhHoc,338036,0.1217
2022,DiaLy,GDCD,554160,0.5805
2022,HoaHoc,SinhHoc,322109,0.4242
2022,LichSu,DiaLy,657078,0.6433
2022,LichSu,GDCD,554134,0.5807
2022,NgoaiNgu,DiaLy,551913,0.3261
2022,NgoaiNgu,GDCD,549963,0.3435
2022,NgoaiNgu,HoaHoc,310923,0.0807
2022,NgoaiNgu,LichSu,552163,0.3922
2022,NgoaiNgu,SinhHoc,310155,0.2578
2022,NgoaiNgu,VatLy,312169,0.3183
2022,NguVan,DiaLy,657174,0.4558
2022,NguVan,GDCD,554222,0.4661
2022,NguVan,HoaHoc,315494,0.1985
2022,NguVan,LichSu,659315,0.4816
2022,NguVan,NgoaiNgu,867165,0.3941
2022,NguVan,SinhHoc,315330,0.2555
2022,NguVan,VatLy,315585,0.1959
2022,Toan,DiaLy,645293,0.4848
2022,Toan,GDCD,553475,0.477
2022,Toan,HoaHoc,327335,0.4818
2022,Toan,LichSu,647511,0.4949
2022,Toan,NgoaiNgu,870065,0.5727
2022,Toan,NguVan,968842,0.4772
2022,Toan,SinhHoc,322138,0.3344
2022,Toan,VatLy,325496,0.5703
2022,VatLy,HoaHoc,323673,0.3905
2022,VatLy,SinhHoc,318665,0.1451
2023,DiaLy,GDCD,565306,0.5667
2023,HoaHoc,SinhHoc,324552,0.4069
2023,LichSu,DiaLy,681765,0.6086
2023,LichSu,GDCD,565269,0.5802
2023,NgoaiNgu,DiaLy,561446,0.3026
2023,NgoaiNgu,GDCD,560224,0.394
2023,NgoaiNgu,HoaHoc,314282,0.0915
2023,NgoaiNgu,LichSu,561574,0.3649
2023,NgoaiNgu,SinhHoc,313805,0.2862
2023,NgoaiNgu,VatLy,315148,0.3173
2023,NguVan,DiaLy,681880,0.4326
2023,NguVan,GDCD,565334,0.4797
2023,NguVan,HoaHoc,320473,0.2003
2023,NguVan,LichSu,683241,0.4531
2023,NguVan,NgoaiNgu,878448,0.3678
2023,NguVan,SinhHoc,320396,0.2631
2023,NguVan,VatLy,320531,0.1807
2023,Toan,DiaLy,668417,0.4456
2023,Toan,GDCD,564566,0.5017
2023,Toan,HoaHoc,328094,0.4633
2023,Toan,LichSu,669830,0.4688
2023,Toan,NgoaiNgu,880432,0.5914
2023,Toan,NguVan,994155,0.4586
2023,Toan,SinhHoc,324577,0.3131
2023,Toan,VatLy,327163,0.5677
2023,VatLy,HoaHoc,325905,0.378
2023,VatLy,SinhHoc,322528,0.1766
2024,DiaLy,GDCD,583280,0.6058
2024,HoaHoc,SinhHoc,342265,0.4121
2024,LichSu,DiaLy,704145,0.6607
2024,LichSu,GDCD,583193,0.5736
2024,NgoaiNgu,DiaLy,576802,0.3427
2024,NgoaiNgu,GDCD,575205,0.3724
2024,NgoaiNgu,HoaHoc,328434,0.0634
2024,NgoaiNgu,LichSu,576972,0.3952
2024,NgoaiNgu,SinhHoc,327843,0.2433
2024,NgoaiNgu,VatLy,329768,0.2828
2024,NguVan,DiaLy,704357,0.4951
2024,NguVan,GDCD,583472,0.477
2024,NguVan,HoaHoc,337291,0.1742
2024,NguVan,LichSu,705939,0.4684
2024,NguVan,NgoaiNgu,909527,0.3354
2024,NguVan,SinhHoc,337134,0.254
2024,NguVan,VatLy,337429,0.1783
2024,Toan,DiaLy,689594,0.4918
2024,Toan,GDCD,581449,0.4675
2024,Toan,HoaHoc,346494,0.4613
2024,Toan,LichSu,691213,0.4845
2024,Toan,NgoaiNgu,911978,0.5665
2024,Toan,NguVan,1034188,0.4237
2024,Toan,SinhHoc,342329,0.2976
2024,Toan,VatLy,345597,0.5621
2024,VatLy,HoaHoc,343796,0.3852
2024,VatLy,SinhHoc,339778,0.1843
