Nam,Mon,mean_prev,mean_change,mean_change_pct,median_change,pct_lt_5_change,pct_ge_8_change,count_change_pct,mean,median,count,pct_lt_5,pct_ge_8
2021,CongNgheCongNghiep,,,,,,,,,,0,,
2022,CongNgheCongNghiep,,,,,,,,,,0,,
2023,CongNgheCongNghiep,,,,,,,,,,0,,
2024,CongNgheCongNghiep,,,,,,,,,,0,,
2025,CongNgheCongNghiep,,,,,,,,5.7926,5.6,2290,34.0611,11.22
2021,CongNgheNongNghiep,,,,,,,,,,0,,
2022,CongNgheNongNghiep,,,,,,,,,,0,,
2023,CongNgheNongNghiep,,,,,,,,,,0,,
2024,CongNgheNongNghiep,,,,,,,,,,0,,
2025,CongNgheNongNghiep,,,,,,,,7.7159,7.75,22048,2.1453,48.8
2021,DiaLy,,,,,,,,6.9564,7.0,628784,4.6197,22.05
2022,DiaLy,6.9564,-0.2783,-4.0006,-0.25,2.6763,-5.32,4.551,6.6781,6.75,657400,7.296,16.73
2023,DiaLy,6.6781,-0.5299,-7.9349,-0.5,6.045,-10.09,3.7502,6.1482,6.25,682054,13.341,6.64
2024,DiaLy,6.1482,1.0459,17.0115,1.0,-8.9858,24.37,3.309,7.1941,7.25,704623,4.3552,31.01
2025,DiaLy,7.1941,-0.5662,-7.8703,-0.5,14.3346,-4.33,-32.3796,6.6279,6.75,476469,18.6898,26.68
2021,GDCD,,,,,,,,8.3746,8.5,532213,0.9913,71.45
2022,GDCD,8.3746,-0.341,-4.0718,-0.25,0.0363,-9.6,4.1534,8.0336,8.25,554318,1.0276,61.85
2023,GDCD,8.0336,0.2525,3.143,0.25,-0.0602,7.11,2.0046,8.2861,8.5,565430,0.9674,68.96
2024,GDCD,8.2861,-0.1293,-1.5604,-0.25,-0.197,-3.12,3.211,8.1568,8.25,583586,0.7704,65.84
2025,GDCD,,,,,,,,,,0,,
2021,HoaHoc,,,,,,,,6.6306,7.0,346709,16.3024,24.89
2022,HoaHoc,6.6306,0.0735,1.1085,0.0,-1.0628,2.98,-5.5813,6.7041,7.0,327358,15.2396,27.87
2023,HoaHoc,6.7041,0.0406,0.6056,0.0,-3.5446,-5.2,0.2312,6.7447,7.0,328115,11.695,22.67
